 CBO, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode,Priority,AddsMethodCall, TotalPassTest, MatrixDensity, MatrixSparsity, ActiveMatrixDensity, MatrixDiversity, MatrixUniqueness, MatrixDDU, Class6
19,162,160,0,1,7083,0.2627796145,0.7372203855,0.5255592289,0.9995661299,0.6566390041,0.344952959,A
16,307,305,0,0,520,0.2135981654,0.7864018346,0.4271963307,0.9996396555,0.2027185376,0.0865694094,F
115,2445,2442,0,1,6350,0.1760470788,0.8239529212,0.3520941575,0.9999379991,0.4659414659,0.1640450963,F
0,0,0,0,1,6251,0.2853234807,0.7146765193,0.5706469615,0.9998747225,0.564727955,0.3222199196,E
0,0,0,0,1,4860,0.1860009488,0.8139990512,0.3720018976,0.9999232468,0.4194717763,0.1560323199,F
12,3351,3350,0,1,3822,0.1720742419,0.8279257581,0.3441484838,0.9998810526,0.3982683983,0.1370471621,E
23,60,59,0,1,176,0.2263442209,0.7736557791,0.4526884419,0.9989727786,0.1400911162,0.0633524852,B
0,0,0,0,0,3214,0.2811962839,0.7188037161,0.5623925678,0.9983740375,0.575815739,0.3233079493,F
38,8,0,0,0,6195,0.1696804837,0.8303195163,0.3393609674,0.9999429613,0.4352116333,0.1476854167,A
177,2226,2225,0,1,6184,0.1834663085,0.8165336915,0.3669326171,0.9999365719,0.4557804269,0.1672300971,F
72,1529,1463,0,1,1775,0.1731220702,0.8268779298,0.3462441404,0.9998028009,0.2623906706,0.0908333164,F
35,35,33,0,1,99,0.2422877194,0.7577122806,0.4845754388,0.9978217822,0.106262986,0.0513802714,B
14,1587,1586,0,1,3814,0.1693790853,0.8306209147,0.3387581707,0.9998739554,0.3694764203,0.1251473801,A
0,0,0,0,1,3794,0.1700692067,0.8299307933,0.3401384134,0.9998754014,0.3676579926,0.1250390246,F
63,9,8,0,1,115,0.2480671666,0.7519328334,0.4961343332,0.9979010495,0.1137162954,0.0563001386,A
171,2190,2187,0,1,6951,0.1604679408,0.8395320592,0.3209358816,0.9999325766,0.4988428902,0.1600857885,F
53,22,21,0,1,95,0.2540672139,0.7459327861,0.5081344279,0.9975877193,0.091611479,0.0464386525,B
11,54,51,0,1,6073,0.1574768044,0.8425231956,0.3149536087,0.9998741862,0.4255404323,0.1340086326,A
14,13,12,0,1,6049,0.1724655866,0.8275344134,0.3449311731,0.9999080785,0.4167987322,0.1437536604,A
24,117,116,0,1,175,0.2181581439,0.7818418561,0.4363162879,0.9985714286,0.1185897436,0.0516687187,C
70,5982,5981,0,1,6031,0.1374992467,0.8625007533,0.2749984935,0.9999426042,0.4314435062,0.1186395044,F
32,177,175,0,1,5982,0.1281445597,0.8718554403,0.2562891193,0.9999444169,0.4303578299,0.1102898986,C
24,636,633,0,1,5975,0.1746824425,0.8253175575,0.349364885,0.9999265614,0.4335729916,0.1514640542,B
10,47,45,0,0,5995,0.1474410045,0.8525589955,0.2948820089,0.6169746537,0.5740740741,0.104444009,A
10,47,45,0,0,5995,0.1474410045,0.8525589955,0.2948820089,0.6169746537,0.5740740741,0.104444009,A
0,0,0,0,0,5992,0.141321272,0.858678728,0.2826425441,0.9999389586,0.4341872792,0.1227123062,F
0,0,0,0,0,3724,0.1686518049,0.8313481951,0.3373036097,0.9998675019,0.3682338996,0.1241901664,F
73,2216,2214,0,0,5972,0.1760804757,0.8239195243,0.3521609514,0.9999240528,0.4332745444,0.1525707876,E
62,64,63,0,1,133,0.2310914966,0.7689085034,0.4621829932,0.9979800247,0.1184004998,0.0546121589,B
29,2411,2410,0,1,4594,0.2497557973,0.7502442027,0.4995115945,0.9996738898,0.5171314741,0.2582289287,B
164,838,835,0,1,5972,0.1747679902,0.8252320098,0.3495359804,0.9999248067,0.4356235566,0.1522546575,C
24,2342,2337,0,0,5954,0.1726474798,0.8273525202,0.3452949596,0.9999246276,0.4355390759,0.1503781124,F
102,71,69,0,1,5913,0.1770957843,0.8229042157,0.3541915686,0.9999281902,0.4442208166,0.1573279693,A
16,142,141,0,1,419,0.1848270604,0.8151729396,0.3696541207,0.9993294693,0.1580786026,0.0583952248,B
23,483,482,0,0,3593,0.1704116714,0.8295883286,0.3408233428,0.9998685071,0.371763754,0.1266891045,A
89,17,14,0,1,167,0.1951227654,0.8048772346,0.3902455307,0.9990950226,0.1270491803,0.0495355057,A
0,0,0,0,1,5755,0.1744855705,0.8255144295,0.348971141,0.9999234433,0.4240924092,0.1479846819,F
64,17,13,0,1,103,0.2376424655,0.7623575345,0.4752849309,0.9980603068,0.1017058256,0.048245483,A
23,461,460,0,1,3469,0.1703785294,0.8296214706,0.3407570588,0.9998584415,0.3680981595,0.1254142902,A
45,22,21,0,0,155,0.2007940585,0.7992059415,0.4015881169,0.9990901572,0.1228714524,0.0492988202,A
44,1281,1280,0,1,5662,0.1752109211,0.8247890789,0.3504218422,0.9999286186,0.4382482672,0.153560803,F
33,18,17,0,0,5621,0.1711542502,0.8288457498,0.3423085004,0.9999051008,0.4095071958,0.1401644914,A
0,0,0,0,1,5696,0.254338757,0.745661243,0.5086775141,0.9998420344,0.4912451362,0.2498458814,D
178,5752,5750,0,1,6347,0.1668490577,0.8331509423,0.3336981154,0.9999180219,0.5004642526,0.1669902872,F
5,16,15,0,1,52,0.2897957312,0.7102042688,0.5795914624,0.9956458636,0.0592952612,0.0342173885,A
0,0,0,0,1,5542,0.2468686497,0.7531313503,0.4937372995,0.9998367802,0.4751434034,0.2345577301,D
40,54,52,0,1,72,0.2509208488,0.7490791512,0.5018416975,0.9974083673,0.1119121181,0.0560166156,C
135,59,52,0,0,5359,0.1757098679,0.8242901321,0.3514197357,0.9999299028,0.4208261618,0.1478762521,A
51,34,33,0,1,111,0.2120386223,0.7879613777,0.4240772446,0.9985521236,0.1173775115,0.0497050605,B
0,0,0,0,1,85,0.2213269259,0.7786730741,0.4426538517,0.9978499761,0.0747975226,0.0330382255,F
24,199,191,0,1,433,0.1909254995,0.8090745005,0.381850999,0.9993506494,0.170324575,0.0649963762,B
0,0,0,0,1,4603,0.1767717455,0.8232282545,0.3535434909,0.9999056667,0.4624152803,0.1634684905,F
14,60,59,0,1,95,0.2181964224,0.7818035776,0.4363928447,0.9962719298,0.0816255644,0.0354880154,C
40,174,173,0,1,1806,0.19810929,0.80189071,0.3962185799,0.9997818254,0.2607526882,0.1032925191,E
40,166,165,0,1,1799,0.1981450855,0.8018549145,0.3962901709,0.9997751837,0.2592307692,0.1027075103,E
0,0,0,0,1,5146,0.1781220085,0.8218779915,0.3562440171,0.9999182859,0.424035507,0.1510477686,F
131,2136,2134,0,1,2280,0.2424492534,0.7575507466,0.4848985068,0.9998839631,0.3268598745,0.158475474,F
105,917,916,0,1,5073,0.179224905,0.820775095,0.3584498101,0.9999108794,0.4247787611,0.1522482966,B
0,0,0,0,0,81,0.2173763537,0.7826236463,0.4347527073,0.9990966576,0.1115965052,0.0484730554,D
55,123,122,0,1,370,0.1844684791,0.8155315209,0.3689369581,0.9995337656,0.1163522013,0.0429066133,C
23,51,48,0,1,72,0.2147448015,0.7852551985,0.429489603,0.9971171171,0.0744801512,0.0318962316,B
21,47,38,0,1,62,0.2169600939,0.7830399061,0.4339201878,0.9971830986,0.0708333333,0.030649433,A
63,21,20,0,0,20,0.2754739859,0.7245260141,0.5509479718,1,0.0356481481,0.0196402749,B
0,0,0,0,0,774,0.1215960373,0.8784039627,0.2431920745,0.99951988,0.1323598681,0.0321734164,F
62,39,38,0,1,1478,0.2067577448,0.7932422552,0.4135154895,0.9998357574,0.3100634633,0.1281949863,B
0,0,0,0,1,4334,0.245287281,0.754712719,0.490574562,0.9988847071,0.6679636835,0.3273205256,C
51,9,8,0,1,102,0.1758480641,0.8241519359,0.3516961281,1,0.1219123506,0.0428761017,A
78,111,110,0,1,114,0.2675063776,0.7324936224,0.5350127551,0.998474447,0.0876913265,0.0468444054,D
77,266,265,0,1,449,0.2348350348,0.7651649652,0.4696700695,0.9996832467,0.2332445628,0.1095132903,F
42,95,93,0,1,6096,0.2693074923,0.7306925078,0.5386149845,0.9998639573,0.5880522713,0.3166906757,A
53,60,58,0,1,8099,0.1643721944,0.8356278056,0.3287443889,0.9999463563,0.5353873633,0.1759961499,A
0,0,0,0,1,2495,0.2434234316,0.7565765684,0.4868468632,0.9999042958,0.3614035088,0.1759313256,F
215,1294,1292,0,1,3215,0.2521083132,0.7478916868,0.5042166264,0.9999298271,0.388633226,0.1959415834,F
35,27,26,0,1,2639,0.2240823948,0.7759176052,0.4481647897,0.9998581878,0.3619412516,0.1621863216,A
21,233,232,0,1,635,0.2146002642,0.7853997358,0.4292005285,0.9997276284,0.2201834862,0.0944771288,B
105,156,149,0,0,684,0.189704789,0.810295211,0.3794095779,0.9997692905,0.2422018349,0.0918724952,B
127,159,151,0,1,686,0.1921138148,0.8078861852,0.3842276295,0.9997879162,0.2315899582,0.0889643887,A
41,352,351,0,1,7136,0.1792264954,0.8207735046,0.3584529907,0.9999421948,0.4807470602,0.1723152602,B
24,21,19,0,1,7129,0.1725405688,0.8274594312,0.3450811377,0.9999499646,0.4784768212,0.1651050643,A
38,765,764,0,0,904,0.2056074976,0.7943925024,0.4112149953,0.9997506478,0.2738364211,0.1125775642,F
27,204,203,0,1,7121,0.1767046735,0.8232953265,0.353409347,0.9999447509,0.4923784176,0.1740015211,C
101,184,183,0,1,458,0.2172182855,0.7827817145,0.434436571,0.9997811837,0.2266569908,0.0984465394,D
0,0,0,0,1,7164,0.2751018652,0.7248981348,0.5502037305,0.9999045537,0.5832072617,0.320852184,D
71,4097,4096,0,1,4480,0.165909704,0.834090296,0.331819408,0.9998999745,0.4263850627,0.1414686872,F
0,0,0,0,1,313,0.229914628,0.770085372,0.459829256,0.9997558047,0.214964965,0.0988230419,F
163,539,538,0,1,7048,0.1805150461,0.8194849539,0.3610300921,0.9999417488,0.4818097015,0.1739376682,B
50,73,71,0,0,314,0.2304774944,0.7695225056,0.4609549888,0.9997387985,0.2195252067,0.1011648079,C
32,136,130,0,1,325,0.2300146144,0.7699853856,0.4600292287,0.9997802801,0.2308499475,0.1061743896,D
0,0,0,0,1,4272,0.1660777541,0.8339222459,0.3321555081,0.9999043511,0.4200972447,0.1395242672,F
14,3491,3490,0,1,6771,0.1494946011,0.8505053989,0.2989892021,0.9999576911,0.4700036805,0.1405200799,F
49,302,301,0,0,575,0.2200681584,0.7799318416,0.4401363169,0.999794686,0.2256944444,0.0993159264,F
0,0,0,0,1,2984,0.1819582816,0.8180417184,0.3639165632,0.9998777096,0.3690284487,0.1342791417,F
54,60,59,0,1,394,0.2121192281,0.7878807719,0.4242384561,0.9998072351,0.2379832811,0.1009421979,C
45,2270,2269,0,0,5492,0.274619166,0.725380834,0.549238332,0.9998574628,0.5746516257,0.3155757127,B
