%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%

@relation 'allfeatures.names'
@attribute ABSTR real
@attribute AFFC real
@attribute ABKD real
@attribute ACYC real
@attribute ADIH real
@attribute ALOCPM real
@attribute ANOCPT real
@attribute ANOFPT real
@attribute ANOMPT real
@attribute ANOPR real
@attribute ANSBT real
@attribute EFFC real
@attribute LOC real
@attribute NOC real
@attribute NOF real
@attribute NOM real
@attribute NOP real
@attribute NOPT real
@attribute NOPK real
@attribute NOT real
@attribute NOUOP real
@attribute NOUOPT real
@attribute PRL real
@attribute PRVOC real
@attribute PRV real
@attribute NDB real
@attribute WM real
@attribute InDeg real
@attribute OutDeg real
@attribute DegCtrl real
@attribute CBO real
@attribute RFC real
@attribute StatementCoverage real
@attribute MSIGCH real
@attribute MCARGCH real
@attribute AMCAL real
@attribute CHCOND real
@attribute AV real
@attribute AIF real
@attribute AL real
@attribute AM real
@attribute TPT real
@attribute TFT real
@attribute MATD real
@attribute MATSP real
@attribute class {A, B, C, D, E, F}
@data
11.5,0,1.2,2.01,2.49,11.08,0.77,1.51,5.64,0.77,0.68,1220,169384,1605,4268,11725,497509,224962,140,2078,40658,55,722471,40713,11063344.29,3687.78,26984,1,3,4,9,14,97,0,0,0,0,0,0,0,0,15,1,0.1260245902,0.8739754098,A
11.4,0,1.2,2.02,2.49,11.03,0.78,1.56,5.73,0.77,0.67,1163,164489,1561,4179,11406,484642,218506,138,1988,40514,55,703148,40569,10763852.95,3587.95,26322,1,4,5,11,8,100,0,0,0,1,0,0,0,0,50,2,0.1691405609,0.8308594391,A
11.6,0,1.19,2.02,2.49,11.03,0.78,1.57,5.78,0.77,0.68,1131,161426,1530,4101,11201,476186,214840,131,1937,39976,54,691026,40030,10564954.15,3521.65,25834,1,2,3,2,8,95.6,0,0,0,0,0,0,0,0,240,1,0.0746172557,0.9253827443,A
11.7,0,1.19,2.01,2.49,11.01,0.79,1.58,5.81,0.77,0.68,1123,160396,1523,4077,11148,473774,213790,129,1918,39667,54,687564,39721,10504337.61,3501.45,25677,1,18,19,46,32,96.9,0,0,1,0,0,0,1,0,167,1,0.2119478711,0.7880521289,D
11.8,0,1.19,2.02,2.48,11.01,0.79,1.58,5.8,0.77,0.68,1114,158746,1509,4046,11026,468860,211822,127,1898,38981,54,680682,39035,10382089.03,3460.7,25432,1,1,2,7,5,86.8,1,0,1,0,0,0,0,0,21,1,0.0842424242,0.9157575758,A
11.9,0,1.19,2.02,2.48,11.02,0.79,1.59,5.8,0.77,0.68,1109,158199,1501,4036,10977,467485,211237,127,1890,38948,54,678722,39002,10351366.01,3450.46,25319,1,2,3,10,7,82.6,0,1,1,0,0,0,0,0,34,1,0.0954081633,0.9045918367,A
11.8,0,1.18,2.03,2.48,11.08,0.78,1.59,5.61,0.77,0.68,1102,153914,1479,4024,10559,446218,201720,127,1881,38806,54,647938,38860,9878461.63,3292.82,24542,1,6,7,9,17,100,0,0,1,0,0,0,0,0,350,1,0.090039241,0.909960759,A
11.8,0,1.18,2.03,2.48,11.06,0.78,1.58,5.59,0.77,0.68,1096,153023,1473,4009,10511,438830,199258,127,1877,38673,54,638088,38727,9725132.46,3241.71,24457,1,4,5,26,10,82.5,0,1,0,0,0,0,0,0,9,1,0.0881889764,0.9118110236,A
11.8,0,1.18,2.03,2.48,11.06,0.78,1.58,5.59,0.77,0.68,1095,152836,1473,4008,10497,438257,198981,127,1876,38653,54,637238,38707,9711702.67,3237.23,24422,0,0,0,0,0,39.6,1,0,0,0,0,0,0,0,653,3,0.0481716756,0.9518283244,C
11.8,0,1.18,2.03,2.48,11.06,0.78,1.58,5.59,0.77,0.68,1095,152798,1474,4008,10495,438178,198943,127,1876,38647,54,637121,38701,9709777.06,3236.59,24419,1,2,3,36,13,75.6,0,0,0,1,0,0,0,0,87,1,0.1255026413,0.8744973587,B
11.8,0,1.18,2.03,2.48,11.06,0.78,1.58,5.59,0.77,0.68,1095,152772,1474,4008,10494,438100,198890,127,1876,38647,54,636990,38701,9707780.61,3235.93,24415,1,1,2,2,2,89.8,0,0,1,1,0,0,1,0,91,1,0.1234962829,0.8765037171,B
12.7,0,1.19,2.02,2.49,10.88,0.78,1.63,5.91,0.77,0.68,922,134053,1248,3506,9385,386845,175091,107,1587,37497,54,561936,37551,8539496.22,2846.5,21574,1,1,2,0,29,90.8,0,0,0,1,0,0,0,0,80,1,0.3132306348,0.6867693652,A
12.8,0,1.19,2.02,2.49,10.85,0.78,1.63,5.93,0.77,0.68,917,133192,1239,3497,9352,384724,174363,107,1576,37163,54,559087,37217,8488994.82,2829.66,21495,5,5,10,85,13,89.7,0,0,0,0,0,0,0,0,23,1,0.1218402427,0.8781597573,A
12.5,0,1.19,2.02,2.49,10.84,0.78,1.64,5.93,0.77,0.68,916,132322,1230,3477,9299,381609,173398,107,1568,37008,54,555007,37062,8423703.72,2807.9,21398,1,6,7,12,9,96.2,0,0,0,1,0,0,0,0,22,2,0.0343444909,0.9656555091,A
12.3,0,1.19,2.02,2.49,10.84,0.78,1.64,5.95,0.77,0.68,911,132014,1226,3474,9280,380159,173037,107,1558,36953,54,553196,37007,8395031.74,2798.34,21382,0,0,0,0,0,97.6,0,0,0,0,0,0,0,0,85,2,0.0613914897,0.9386085103,B
12.3,0,1.19,2.02,2.49,10.83,0.78,1.64,5.95,0.77,0.68,911,131903,1226,3474,9279,379940,172992,107,1558,36950,54,552932,37004,8390960.73,2796.99,21374,1,10,11,19,15,94.7,0,1,0,0,0,0,0,0,16,1,0.1267927666,0.8732072334,A
12.3,0,1.19,2.02,2.49,10.82,0.78,1.64,5.95,0.77,0.68,911,131713,1226,3474,9277,379577,172859,107,1558,36940,54,552436,36994,8383218.33,2794.41,21354,1,9,10,18,13,90.4,0,1,0,0,0,0,0,0,15,1,0.1185954064,0.8814045936,A
12.1,0,1.19,2.02,2.48,10.76,0.77,1.62,5.85,0.77,0.66,904,129211,1218,3424,9208,374263,171322,107,1574,35950,54,545585,36004,8257903.4,2752.63,21177,1,3,4,11,8,98.9,0,0,0,1,0,0,0,0,6,1,0.187012987,0.812987013,A
12,0,1.17,2,2.48,10.7,0.77,1.64,5.78,0.76,0.66,890,125921,1203,3404,8986,362690,166055,105,1554,35401,54,528745,35455,7991294.08,2663.76,20532,0,0,0,0,0,97.6,0,0,0,1,0,0,0,0,208,1,0.0594633256,0.9405366744,A
12,0,1.17,2,2.48,10.7,0.77,1.64,5.78,0.76,0.66,890,125919,1203,3404,8986,362687,166051,105,1554,35400,54,528738,35454,7991166.77,2663.72,20532,1,2,3,1,7,97.6,0,0,0,0,0,0,0,0,208,1,0.0599643272,0.9400356728,A
12,0,1.17,2,2.48,10.7,0.77,1.64,5.78,0.76,0.66,890,125907,1203,3404,8985,362656,166031,105,1554,35397,54,528687,35451,7990331.43,2663.44,20529,1,9,10,34,17,100,0,0,0,1,0,0,0,0,25,1,0.1023854195,0.8976145805,A
12,0,1.16,1.99,2.48,10.69,0.75,1.65,5.8,0.77,0.67,868,123813,1160,3359,8871,357108,163372,103,1527,35197,54,520480,35251,7862046.39,2620.68,20146,1,4,5,6,10,91.2,0,0,0,0,0,0,0,0,2,1,0.0941558442,0.9058441558,A
12,0,1.16,2,2.49,10.74,0.76,1.67,5.8,0.77,0.66,863,123201,1158,3362,8754,356236,163105,103,1508,35068,54,519341,35122,7842094.48,2614.03,19981,1,6,7,8,8,85.7,0,0,0,1,1,1,1,0,309,2,0.0437868859,0.9562131141,B
12,0,1.16,2,2.49,10.73,0.76,1.67,5.81,0.77,0.66,859,122747,1155,3346,8728,355051,162534,103,1502,34963,54,517585,35017,7813343.01,2604.45,19922,1,8,9,54,25,72.8,0,0,0,1,0,0,0,0,22,1,0.2978296684,0.7021703316,A
12.1,0,1.16,2,2.49,10.7,0.77,1.66,5.81,0.77,0.67,852,121740,1150,3313,8677,351656,160506,103,1492,34815,54,512162,34869,7728349.09,2576.12,19756,1,9,10,61,33,96.3,0,0,0,1,0,0,0,0,27,1,0.1046481092,0.8953518908,A
12.1,0,1.16,2,2.49,10.71,0.77,1.66,5.84,0.77,0.67,845,121178,1143,3290,8620,350496,159709,103,1475,34626,54,510205,34680,7694818.07,2564.94,19661,0,0,0,0,0,82.6,0,0,0,0,0,0,0,0,23,1,0.1527777778,0.8472222222,A
12.2,0,1.16,2,2.49,10.72,0.77,1.67,5.86,0.77,0.66,845,121030,1143,3290,8600,350135,159549,103,1466,34615,54,509684,34669,7686727.17,2562.24,19633,0,0,0,0,0,100,0,0,1,0,0,0,0,0,8,4,0.1169154229,0.8830845771,A
12.1,0,1.16,2.01,2.49,10.72,0.77,1.69,5.84,0.77,0.66,851,121866,1147,3332,8633,352484,160757,103,1477,35024,54,513241,35078,7749055.74,2583.02,19778,0,0,0,0,0,94.6,0,0,0,1,0,0,0,0,82,2,0.0619288119,0.9380711881,A
12.8,0,1.15,1.99,2.51,10.63,0.77,1.67,5.86,0.78,0.66,864,122181,1154,3340,8747,353313,160779,103,1492,34926,54,514092,34980,7759829.4,2586.61,19877,1,5,6,7,11,94.4,0,0,0,1,0,0,0,0,283,4,0.0554461445,0.9445538555,A
12.8,0,1.15,2,2.51,10.68,0.77,1.66,5.76,0.79,0.66,860,120231,1142,3296,8541,348368,158664,103,1482,34694,54,507032,34748,7648396.36,2549.47,19519,1,11,12,27,28,87.7,0,0,0,0,0,0,0,0,16,1,0.0765056022,0.9234943978,A
12.8,0,1.15,2,2.51,10.68,0.77,1.66,5.76,0.79,0.66,860,120184,1142,3296,8539,348270,158630,103,1482,34686,54,506900,34740,7646236.8,2548.75,19513,1,15,16,19,20,100,0,0,0,1,0,0,0,0,68,1,0.3155570652,0.6844429348,A
13,0,1.15,2,2.52,10.67,0.77,1.66,5.77,0.79,0.66,860,120257,1143,3286,8533,348142,158326,103,1478,34686,54,506468,34740,7639720.38,2546.57,19481,1,12,13,15,19,99.2,0,0,0,0,0,0,0,0,88,1,0.11452234,0.88547766,A
13,0,1.15,2,2.52,10.67,0.77,1.66,5.77,0.79,0.66,860,120225,1144,3292,8531,347997,158313,103,1477,34680,54,506310,34734,7637210.89,2545.74,19488,0,0,0,0,0,91.1,0,0,0,0,0,0,0,0,220,1,0.0857097759,0.9142902241,B
13,0,1.15,2,2.52,10.67,0.77,1.66,5.77,0.8,0.66,860,120125,1144,3292,8527,347581,158116,103,1477,34668,54,505697,34722,7627712.26,2542.57,19480,1,6,7,57,28,96.3,0,0,0,1,0,0,0,0,26,1,0.0985212654,0.9014787346,A
13,0,1.15,2,2.52,10.67,0.77,1.66,5.75,0.78,0.66,858,119448,1141,3272,8496,343714,157335,103,1475,32331,54,501049,32385,7507236.26,2502.41,19414,1,6,7,18,12,79,0,0,0,1,0,0,0,0,72,6,0.125041625,0.874958375,A
13.9,0,1.15,2,2.51,10.63,0.76,1.64,5.74,0.78,0.67,839,118472,1125,3237,8453,340999,156160,103,1472,32267,54,497159,32321,7447533.4,2482.51,19313,1,17,18,41,30,96.5,0,0,0,0,1,0,1,0,161,1,0.202587519,0.797412481,D
15,0,1.16,2.02,2.49,10.66,0.82,1.74,6.03,0.79,0.65,812,116631,1118,3181,8231,336557,154228,103,1363,32121,54,490785,32175,7348844.05,2449.61,19030,1,2,3,2,4,81.2,0,0,0,1,0,0,0,0,432,1,0.0397649909,0.9602350091,A
15.4,0,1.15,2.03,2.48,10.61,0.84,1.74,6.15,0.79,0.65,775,106183,1087,3010,7959,317425,141790,103,1294,24119,54,459215,24173,6686679.62,2228.89,18471,1,6,7,7,20,93.9,0,0,0,0,0,0,0,0,188,2,0.0314560721,0.9685439279,A
15.4,0,1.15,2.03,2.48,10.61,0.84,1.74,6.15,0.79,0.65,775,106184,1087,3009,7959,317433,141799,103,1294,24119,54,459232,24173,6686927.16,2228.98,18470,1,6,7,9,20,93.8,0,0,0,1,0,0,0,0,188,2,0.0315584682,0.9684415318,A
15.4,0,1.15,2.03,2.49,10.63,0.84,1.74,6.13,0.79,0.65,777,106366,1092,3013,7952,317935,141899,103,1297,24120,54,459834,24174,6695720.39,2231.91,18510,1,9,10,14,13,95.9,0,0,0,1,0,0,0,0,35,1,0.1092013889,0.8907986111,A
15.6,0,1.15,2.04,2.49,10.6,0.82,1.73,6.18,0.79,0.65,777,105720,1064,2962,7956,315981,141198,103,1286,24035,54,457179,24089,6654737.24,2218.25,18496,2,11,13,22,19,84.9,0,0,0,0,0,0,0,0,34,1,0.0513533835,0.9486466165,A
15.6,0,1.15,2.04,2.49,10.6,0.82,1.73,6.18,0.8,0.65,777,105706,1064,2960,7953,315921,141182,103,1286,24035,54,457103,24089,6653630.98,2217.88,18505,1,9,10,14,13,96,0,0,0,1,0,0,0,0,35,1,0.1085779175,0.8914220825,A
25.5,471,1.16,2.21,2.61,8.83,1.27,2.04,6.39,1.08,1.05,535,54296,907,2086,4544,145772,70537,51,711,7324,53,216309,7377,2779315.08,926.44,12081,1,9,10,14,13,97.2,0,0,0,1,0,0,0,0,35,1,0.1167800454,0.8832199546,A
15.8,0,1.15,1.99,2.48,10.39,0.82,1.74,6.23,0.79,0.65,767,102918,1043,2921,7896,307220,136347,103,1266,23784,54,443567,23838,6449896.91,2149.97,17947,1,11,12,12,14,100,0,0,0,1,0,0,0,0,27,1,0.0752201566,0.9247798434,A
15.9,0,1.14,1.97,2.47,10.23,0.82,1.75,6.23,0.78,0.64,754,99112,1025,2865,7698,295506,130222,103,1235,22832,54,425728,22886,6165468.55,2055.16,17268,1,4,5,1,11,96.1,0,0,0,1,0,0,0,0,166,1,0.0316299916,0.9683700084,A
15.5,0,1.15,1.98,2.48,10.36,0.8,1.76,6.26,0.78,0.64,701,91925,911,2719,7085,274758,121701,89,1131,21983,54,396459,22037,5719967.81,1906.66,15971,1,15,16,0,68,90.2,0,0,0,1,0,0,0,0,62,1,0.20995281,0.79004719,A
15.5,0,1.15,1.99,2.48,10.36,0.8,1.77,6.26,0.78,0.65,695,91180,906,2703,7031,272246,120637,89,1122,21908,54,392883,21962,5666442.21,1888.81,15879,1,1,2,0,8,93,0,1,0,1,0,0,0,0,87,1,0.0696548822,0.9303451178,A
15.5,0,1.15,1.99,2.48,10.36,0.8,1.77,6.26,0.78,0.65,695,91176,906,2703,7030,272205,120625,89,1122,21901,54,392830,21955,5665497.14,1888.5,15879,0,0,0,0,0,86.7,0,0,0,0,1,0,1,0,4,1,0.05,0.95,A
15.6,0,1.14,1.97,2.73,10.11,0.89,1.77,6.28,0.78,0.65,686,90231,1008,2702,7041,267506,120197,89,1121,21831,54,387703,21885,5589768,1863.26,15944,1,4,5,8,15,96.7,0,0,0,0,0,0,0,0,3,1,0.082,0.918,A
15.7,0,1.14,1.97,2.76,10.08,0.91,1.78,6.27,0.78,0.65,680,89424,1019,2701,6974,264990,119585,89,1111,21766,54,384575,21820,5543019.26,1847.67,15859,1,5,6,12,18,65.2,0,1,0,0,0,0,0,0,7,1,0.2454637097,0.7545362903,A
16.2,0,1.15,1.96,2.81,10.06,0.91,1.78,6.26,0.78,0.65,664,86515,988,2610,6761,255670,115183,88,1079,21182,54,370853,21236,5330724.25,1776.91,15284,1,2,3,5,5,82.6,0,0,0,1,0,1,0,0,25,1,0.0958579882,0.9041420118,A
15.8,0,1.15,1.93,2.87,10.01,0.9,1.79,6.57,0.76,0.66,730,94793,1036,2805,7564,277522,125723,91,1151,21473,54,403245,21527,5804251.93,1934.75,16824,1,3,4,4,5,87.5,1,0,0,0,0,0,0,0,11,1,0.0730633803,0.9269366197,A
15.9,0,1.15,1.93,2.86,10.03,0.9,1.79,6.58,0.76,0.66,729,94871,1034,2800,7561,277686,125701,91,1148,21461,54,403387,21515,5805971.36,1935.32,16819,1,1,2,14,8,66.7,0,1,1,0,1,0,0,0,1,1,0.1975308642,0.8024691358,A
15.9,0,1.13,1.85,2.85,9.48,0.87,1.82,6.58,0.76,0.66,728,86391,965,2687,7294,246816,109876,89,1108,15086,52,356692,15138,4952984.8,1650.99,15473,1,7,8,12,18,98.2,0,1,1,1,0,0,0,0,52,2,0.1488696489,0.8511303511,A
16,0,1.13,1.85,2.85,9.49,0.86,1.82,6.6,0.76,0.66,725,86238,960,2682,7288,246634,109784,87,1104,15070,52,356418,15122,4948636.29,1649.55,15455,0,0,0,0,0,94.5,0,0,0,0,1,0,1,0,74,1,0.0500995025,0.9499004975,B
16.1,0,1.13,1.85,2.84,9.49,0.86,1.82,6.61,0.76,0.66,718,85607,951,2644,7246,245078,109115,87,1095,14800,52,354193,14852,4908537.5,1636.18,15363,1,5,6,13,9,97,0,1,1,0,1,1,1,1,6,4,0.053724605,0.946275395,A
16.3,0,1.13,1.85,2.85,9.48,0.87,1.83,6.66,0.76,0.66,711,84957,943,2617,7201,243763,108388,87,1080,14732,52,352151,14784,4877907.27,1625.97,15250,1,1,2,19,13,73.3,0,0,0,0,0,0,0,0,1,1,0.1727272727,0.8272727273,A
16.4,0,1.13,1.85,2.83,9.51,0.85,1.61,6.76,0.76,0.66,695,83586,894,2367,7086,239050,106800,85,1048,14685,52,345850,14737,4789038.64,1596.35,14959,1,6,7,11,16,98.2,0,0,1,1,0,0,0,0,42,2,0.1738816739,0.8261183261,A
16.4,0,1.13,1.85,2.83,9.51,0.85,1.61,6.76,0.76,0.66,695,83593,894,2367,7086,239050,106810,85,1048,14680,52,345860,14732,4789007.79,1596.34,14960,1,5,6,17,12,91.3,0,0,0,0,0,0,0,0,13,2,0.0723700887,0.9276299113,A
16.4,0,1.13,1.85,2.83,9.51,0.85,1.61,6.75,0.76,0.66,695,83584,894,2368,7084,239008,106783,85,1048,14677,52,345791,14729,4787950.77,1595.98,14957,1,1,2,5,6,100,0,1,0,0,0,0,0,0,15,1,0.096875,0.903125,A
16.8,0,1.13,1.83,2.86,9.39,0.88,1.68,6.95,0.75,0.66,686,81838,889,2366,7012,229504,103433,85,1008,14604,52,332937,14656,4607582.99,1535.86,14643,1,15,16,18,17,93.1,0,0,1,0,0,0,0,0,112,2,0.3145429363,0.6854570637,B
16.8,0,1.13,1.83,2.9,9.41,0.88,1.66,6.98,0.74,0.65,668,79784,863,2280,6814,223324,100775,83,976,14284,52,324099,14336,4474949.92,1491.65,14262,1,4,5,12,9,92,0,1,0,0,0,0,0,0,151,1,0.1577706058,0.8422293942,A
16.8,0,1.13,1.83,2.9,9.41,0.88,1.66,6.98,0.74,0.65,668,79776,863,2280,6814,223286,100762,83,976,14283,52,324048,14335,4474213.13,1491.4,14261,1,4,5,11,9,99.2,0,0,0,1,0,0,0,0,165,1,0.0735277559,0.9264722441,A
16.8,0,1.14,1.85,2.89,9.51,0.88,1.68,6.99,0.75,0.65,666,80468,858,2297,6809,225723,102731,83,973,14337,52,328454,14389,4536829.57,1512.28,14388,1,18,19,22,23,87,0,0,0,0,0,0,1,0,55,1,0.1032713899,0.8967286101,C
16.8,0,1.14,1.84,2.89,9.42,0.88,1.69,7.09,0.73,0.65,664,80891,858,2297,6906,226310,103193,83,973,14409,52,329503,14461,4553691.82,1517.9,14488,1,1,2,0,16,96,0,0,1,0,0,0,0,0,7,1,0.3541666667,0.6458333333,A
16.8,0,1.14,1.84,2.89,9.42,0.88,1.69,7.09,0.73,0.65,664,80884,858,2297,6906,226304,103193,83,973,14408,52,329497,14460,4553576.02,1517.86,14486,1,6,7,26,13,59.8,0,1,0,0,0,0,0,0,15,2,0.0790630685,0.9209369315,A
16.7,0,1.14,1.84,2.9,9.41,0.88,1.69,7.09,0.73,0.65,664,80693,858,2299,6892,225425,102818,83,972,14370,52,328243,14422,4534999.91,1511.67,14459,1,4,5,22,15,84.1,0,0,0,0,0,0,0,1,344,2,0.0230343921,0.9769656079,A
17.4,0,1.14,1.85,2.9,9.49,0.93,1.79,7.41,0.73,0.64,654,79726,851,2248,6736,223041,101901,83,908,14240,52,324942,14292,4485148.49,1495.05,14247,1,10,11,15,22,98.2,0,0,0,1,0,0,1,0,115,1,0.2547248011,0.7452751989,A
17.4,0,1.14,1.85,2.91,9.48,0.94,1.79,7.42,0.73,0.64,653,79488,852,2208,6727,222246,101484,82,906,14117,52,323730,14169,4464382.48,1488.13,14227,0,0,0,0,0,93,0,0,0,0,0,0,0,0,35,1,0.0790732047,0.9209267953,B
17.4,0,1.14,1.85,2.91,9.48,0.94,1.79,7.42,0.73,0.64,653,79450,852,2208,6726,222110,101415,82,906,14047,52,323525,14099,4459243.82,1486.41,14224,0,0,0,0,0,89.3,0,0,0,1,0,0,0,0,34,1,0.0781578359,0.9218421641,A
17.5,0,1.14,1.84,2.92,9.43,0.94,1.78,7.43,0.73,0.64,645,78345,844,2177,6661,218929,100043,82,896,13697,51,318972,13748,4384887.07,1461.63,14182,1,5,6,29,14,96.7,0,0,0,1,0,0,0,0,13,1,0.1418022905,0.8581977095,A
17.5,0,1.14,1.84,2.92,9.43,0.94,1.78,7.43,0.73,0.64,645,78331,844,2177,6660,218845,100013,82,896,13696,51,318858,13747,4383286.46,1461.1,14181,1,8,9,51,31,91.9,0,1,1,0,0,0,0,0,16,1,0.1310498883,0.8689501117,A
17.5,0,1.14,1.84,2.92,9.43,0.94,1.78,7.42,0.73,0.64,645,78305,844,2177,6656,218767,99978,82,896,13690,51,318745,13741,4381532.32,1460.51,14175,1,3,4,16,9,100,0,0,0,0,1,1,1,0,3,2,0.3641791045,0.6358208955,A
17.7,0,1.14,1.84,2.94,9.39,0.95,1.81,7.45,0.74,0.64,631,76762,838,2174,6539,213388,98242,83,877,11524,50,311630,11574,4206568.69,1402.19,13972,1,2,3,3,4,93.9,0,0,0,1,0,0,0,0,91,1,0.0840961098,0.9159038902,A
18.4,0,1.13,1.84,2.95,9.39,0.98,1.88,7.81,0.74,0.64,589,72998,788,2140,6226,203907,93901,80,797,11205,50,297808,11255,4007982.98,1335.99,13286,1,3,4,8,8,97.3,0,0,0,1,0,1,0,0,10,2,0.0840192044,0.9159807956,A
18.4,0,1.14,1.84,2.96,9.39,0.98,1.88,7.81,0.74,0.64,589,73005,789,2140,6226,203882,93896,80,797,11193,50,297778,11243,4007120.95,1335.71,13292,1,4,5,45,26,92.4,0,0,0,1,0,0,0,0,15,1,0.1288728632,0.8711271368,A
18.4,0,1.14,1.84,2.96,9.39,0.98,1.88,7.81,0.74,0.64,588,73023,789,2138,6225,203943,93934,80,797,11198,50,297877,11248,4008644.24,1336.21,13289,1,8,9,51,30,92.4,0,0,0,1,0,1,1,0,14,1,0.1283475783,0.8716524217,A
18,0,1.13,1.82,3.05,9.33,0.95,1.71,7.37,0.7,0.66,561,63858,705,1937,5475,174383,81728,78,742,10902,49,256111,10951,3436695.88,1145.57,11626,0,0,0,0,0,99.1,0,0,0,1,0,0,0,0,6,1,0.4619047619,0.5380952381,A
18,0,1.13,1.82,3.05,9.33,0.95,1.71,7.37,0.7,0.66,561,63855,705,1937,5474,174376,81726,78,742,10902,49,256102,10951,3436575.11,1145.53,11625,0,0,0,0,0,99.1,0,0,1,0,0,0,0,1,6,1,0.4729064039,0.5270935961,A
18.1,0,1.12,1.81,3.05,9.16,0.94,1.73,7.35,0.69,0.67,524,62394,702,1921,5435,171020,80532,78,739,10764,49,251552,10813,3370917.35,1123.64,11495,1,1,2,1,5,96.6,0,0,0,0,0,0,0,0,55,1,0.0797342193,0.9202657807,A
18.4,0,1.11,1.81,3.16,9.09,0.95,1.82,7.54,0.71,0.67,445,52355,582,1605,4620,143168,67981,68,612,9756,47,211149,9803,2799626.19,933.21,9812,1,1,2,0,8,93,0,0,0,1,1,1,0,0,196,1,0.0397827883,0.9602172117,A
18.5,0,1.11,1.81,3.15,9.07,0.95,1.82,7.55,0.71,0.67,443,52065,580,1593,4611,142373,67552,68,610,9715,47,209925,9762,2782127.84,927.38,9771,1,1,2,0,6,92.8,0,0,0,1,1,1,0,0,195,1,0.039155197,0.960844803,A
18,0,1.11,1.81,3.14,9.06,0.94,1.84,7.61,0.71,0.66,438,51729,572,1589,4600,141728,67285,58,604,9673,47,209013,9720,2768740.99,922.91,9730,0,0,0,0,0,92.8,0,0,0,1,0,0,0,0,195,1,0.039155197,0.960844803,A
18.7,0,1.08,1.77,3.11,8.82,0.92,1.71,7.2,0.63,0.67,405,43194,501,1341,3913,116749,55610,58,543,8689,47,172359,8736,2256654.52,752.22,8181,1,1,2,9,11,100,0,0,0,0,0,1,0,0,21,1,0.1325042882,0.8674957118,A
18.6,0,1.08,1.76,3.11,8.75,0.92,1.72,7.13,0.63,0.66,394,42102,496,1331,3833,113247,54127,58,537,8072,47,167374,8119,2173700.58,724.57,8013,1,2,3,1,10,97.7,0,0,0,0,0,0,0,0,147,1,0.1908201305,0.8091798695,A
18.2,0,1.07,1.76,3.09,8.79,0.92,1.7,6.61,0.65,0.63,370,36720,455,1212,3268,98813,47118,58,494,7268,47,145931,7315,1873264.02,624.42,6941,1,4,5,7,8,93,0,0,0,1,0,0,0,0,58,1,0.122697126,0.877302874,A
18.2,0,1.07,1.76,3.09,8.79,0.92,1.7,6.61,0.65,0.63,369,36566,455,1193,3266,98855,47067,53,494,7244,47,145922,7291,1872456.65,624.15,6947,1,2,3,0,7,86,0,0,0,0,0,0,0,0,111,2,0.0992585506,0.9007414494,A
18.1,0,1.12,1.81,3.14,9.05,0.96,1.81,7.8,0.7,0.66,460,55800,614,1654,4939,152491,72115,72,633,10200,47,224606,10247,2992406.41,997.47,10451,1,2,3,0,6,98.9,0,0,0,1,0,0,0,0,275,2,0.0299638989,0.9700361011,A
17.2,0,1.07,1.75,3.14,8.72,0.96,1.75,6.79,0.65,0.64,374,36788,472,1184,3307,100845,47391,52,487,6870,47,148236,6917,1890888.14,630.3,7027,1,3,4,19,12,100,0,0,0,0,0,0,0,0,47,1,0.1973684211,0.8026315789,A
17.3,0,1.07,1.75,3.14,8.72,0.96,1.75,6.79,0.65,0.64,374,36683,470,1179,3297,100565,47254,52,485,6849,47,147819,6896,1884920.49,628.31,7008,1,5,6,0,20,85.7,0,0,0,1,0,0,0,0,68,2,0.4836734694,0.5163265306,A
17,0,1.07,1.76,3.16,8.81,0.96,1.82,6.61,0.66,0.65,363,35463,458,1143,3150,96679,45524,52,476,6671,47,142203,6718,1807942.78,602.65,6780,2,2,4,4,6,91.7,0,0,0,1,0,0,1,0,24,6,0.1239852399,0.8760147601,B
18.2,0,1.05,1.78,3.17,8.76,0.98,1.92,6.57,0.69,0.62,354,33187,437,1120,2924,90625,42982,52,445,6486,47,133607,6533,1693272.31,564.42,6394,1,1,2,4,4,97.2,0,0,0,1,0,0,0,0,19,1,0.1842105263,0.8157894737,A
21,0,1.06,1.79,3.31,8.18,0.83,2,8.29,0.65,0.63,232,22422,227,657,2247,61064,26793,44,271,4183,47,87857,4230,1058364.25,352.79,4432,0,0,0,0,0,100,0,0,0,0,0,0,0,0,8,1,0.4343434343,0.5656565657,A
21.5,0,1.05,1.77,3.32,8.1,0.84,2.04,8.27,0.62,0.64,226,21709,224,652,2194,58486,25535,42,265,4078,44,84021,4122,1009019.01,336.34,4300,1,8,9,8,10,84.2,0,0,0,1,0,0,0,0,15,1,0.3338414634,0.6661585366,A
11.6,0,1.1,1.49,3.42,7.83,1.28,2,17.5,0.51,0.71,367,80953,650,2029,8858,264735,113540,21,506,8762,49,378275,8811,4957327.93,1652.44,14245,1,1,2,3,4,92.9,0,0,0,1,0,1,0,0,3822,1,0.0555941003,0.9444058997,A
11.6,0,1.1,1.49,3.42,7.83,1.28,2,17.5,0.51,0.71,367,80897,650,2029,8858,264620,113482,21,506,8760,49,378102,8809,4954936.92,1651.65,14239,1,5,6,24,13,92.8,0,0,0,1,0,0,0,0,3924,22,0.1863013682,0.8136986318,F
